2020090822001148871452113086	,T200P1233396111630198748	,2020-09-08 10:18:02 ,2020-09-08 10:18:08 ,2020-09-09 09:32:35 ,淘宝        ,支付宝担保交易         ,t***0           ,猫与风铃草 苔丝的秘密 衬衫lolita衬衫,228.00  ,收入      ,等待对方确认收货,0.00     ,0.00     ,                    ,待收入      ,
20200908300044373411 	,                    	,2020-09-08 02:34:14 ,                    ,2020-09-08 02:34:14 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.07-收益发放 ,0.02    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090722001447411455710843	,00202000888312009070907281930	,2020-09-07 20:18:48 ,2020-09-07 20:18:48 ,2020-09-07 20:18:48 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,联华超市(国和店)       ,百联商品                ,5.80    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090722001447411455571076	,15994800139902340047418	,2020-09-07 20:00:14 ,2020-09-07 20:00:18 ,2020-09-07 20:00:18 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,明连              ,商品                  ,7.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200907332866954105 	,20090770311494110730	,2020-09-07 15:25:29 ,2020-09-07 15:25:29 ,2020-09-07 15:25:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,国泰财产保险有限责任公司    ,保险承保-自动续保-银行卡安全险    ,1.66    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090722001447411456004344	,20090770094174068607	,2020-09-07 13:52:47 ,2020-09-07 13:52:47 ,2020-09-07 13:52:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,湊湊火锅.茶憩（上海合生汇店）外卖订单 ,67.30   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090722001147411455925020	,T200P1231718655723833850	,2020-09-07 11:33:05 ,2020-09-07 11:33:08 ,2020-09-07 17:34:50 ,淘宝        ,支付宝担保交易         ,声力乐器专营店         ,声力乐器Rainie小雨 加棉23寸背包 23寸尤克里里琴包 乌克丽丽包,48.50   ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2020090722001447411455762708	,232354964344        	,2020-09-07 09:41:30 ,2020-09-07 09:41:30 ,2020-09-07 09:41:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,22.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200907387773270411 	,                    	,2020-09-07 02:07:14 ,                    ,2020-09-07 02:07:14 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.06-收益发放 ,0.03    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090622001147411455723331	,T200P1230495734195833850	,2020-09-06 19:17:21 ,2020-09-06 19:17:24 ,2020-09-09 10:41:37 ,淘宝        ,支付宝担保交易         ,无印良品muji官方旗舰店   ,无印良品 MUJI 女式 粗棉线　天竺编织 落肩T恤 等多件,167.00  ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2020090622001447411455621374	,20200906041079834841461	,2020-09-06 18:25:37 ,2020-09-06 18:25:37 ,2020-09-06 18:25:37 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,信用借还服务商         ,小电充电宝               ,4.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200906200040011100410087215114	,                    	,2020-09-06 18:23:55 ,2020-09-06 18:23:58 ,2020-09-06 18:23:58 ,支付宝网站     ,即时到账交易          ,大玥仔(周玥)         ,转账                  ,58.00   ,支出      ,交易成功    ,0.00     ,0.00     ,转账                  ,已支出      ,
20200906200040011100410087303900	,                    	,2020-09-06 17:49:18 ,2020-09-06 17:49:22 ,2020-09-06 17:49:22 ,支付宝网站     ,即时到账交易          ,大玥仔(周玥)         ,转账                  ,46.50   ,支出      ,交易成功    ,0.00     ,0.00     ,转账                  ,已支出      ,
2020090622001447411454827697	,1611082102099901    	,2020-09-06 17:36:15 ,2020-09-06 17:36:16 ,2020-09-06 17:36:16 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,喜士多(大巴黎店)       ,大巴黎门市-pos2          ,2.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200906200040011100410087216530	,                    	,2020-09-06 14:07:42 ,2020-09-06 14:07:45 ,2020-09-06 14:07:45 ,支付宝网站     ,即时到账交易          ,大玥仔(周玥)         ,转账                  ,229.00  ,支出      ,交易成功    ,0.00     ,0.00     ,转账                  ,已支出      ,
20200906200040011100410087226979	,                    	,2020-09-06 13:53:39 ,2020-09-06 13:53:41 ,2020-09-06 13:53:42 ,支付宝网站     ,即时到账交易          ,大玥仔(周玥)         ,转账                  ,334.00  ,支出      ,交易成功    ,0.00     ,0.00     ,转账                  ,已支出      ,
20200906381192199411 	,                    	,2020-09-06 02:32:21 ,                    ,2020-09-06 02:32:21 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.05-收益发放 ,0.05    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090522001447411454765875	,210_202009052203470601946085	,2020-09-05 23:18:25 ,2020-09-05 23:18:26 ,2020-09-05 23:18:26 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-徐师傅-09月05日行程   ,15.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200905009130125000410035933164	,20200905200040011100020000149922	,2020-09-05 22:36:00 ,2020-09-05 22:36:00 ,2020-09-05 22:36:00 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,500.00  ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200905200040011100020000149922	,                    	,2020-09-05 22:35:56 ,2020-09-05 22:35:59 ,2020-09-05 22:35:59 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,500.00  ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020090522001447411454908793	,20200905041064697941461	,2020-09-05 20:47:12 ,2020-09-05 20:47:13 ,2020-09-05 20:47:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,信用借还服务商         ,来电-充电宝              ,4.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090522001147411455229636*T150P1228471202498833850	,T150P1228471202498833850	,2020-09-05 20:29:13 ,2020-09-05 20:29:13 ,2020-09-05 20:29:13 ,淘宝        ,即时到账交易          ,淘票票-电影票         ,退款-《信条》SFC上影百联影城（又一城店）电影票,44.00   ,收入      ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090522001147411455215350	,T150P1227663648693833850	,2020-09-05 19:56:26 ,2020-09-05 19:56:32 ,2020-09-05 19:56:33 ,淘宝        ,支付宝担保交易         ,淘票票-淘出好时光       ,《信条》中影国际影城（上海合生汇店）电影票,55.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090522001147411455229636	,T150P1228471202498833850	,2020-09-05 19:50:01 ,2020-09-05 19:50:05 ,2020-09-05 19:50:07 ,淘宝        ,支付宝担保交易         ,淘票票-电影票         ,《信条》SFC上影百联影城（又一城店）电影票,44.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090522001447411454842789	,2009050000252354    	,2020-09-05 19:29:28 ,2020-09-05 19:29:29 ,2020-09-05 19:29:29 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,烧肉肯咕焼肉キング(大悦城店) ,肯咕(大悦城店)_AndroidMYD[条码支付],88.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090522001447411454546873	,20090570092021695607	,2020-09-05 09:43:24 ,2020-09-05 09:43:24 ,2020-09-05 09:43:24 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,淮南牛肉汤(世界路店)外卖订单     ,25.79   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200905374490566411 	,                    	,2020-09-05 02:26:19 ,                    ,2020-09-05 02:26:19 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.04-收益发放 ,0.06    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
20200904200040011100410085573787	,                    	,2020-09-04 12:46:48 ,2020-09-04 12:46:51 ,2020-09-04 12:46:51 ,支付宝网站     ,即时到账交易          ,装富有(庄宜成)        ,转账                  ,400.00  ,支出      ,交易成功    ,0.00     ,0.00     ,转账                  ,已支出      ,
2020090422001447411454053885	,231871574844        	,2020-09-04 09:56:58 ,2020-09-04 09:56:58 ,2020-09-04 09:56:58 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,22.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090322001447411453783219	,20090370091001885407	,2020-09-03 21:42:21 ,2020-09-03 21:42:21 ,2020-09-03 21:42:21 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,超级鸡车(鸡排炸鸡汉堡市光路店)外卖订单,25.79   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090322001447411453382038	,210_202009032201518501635811	,2020-09-03 21:40:32 ,2020-09-03 21:40:33 ,2020-09-03 21:40:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-张师傅-09月03日行程   ,14.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020090322001147411452803609	,T200P1222051176671833850	,2020-09-03 00:11:04 ,2020-09-03 00:11:08 ,2020-09-04 21:11:12 ,淘宝        ,支付宝担保交易         ,么么婆婆            ,软木板留言板挂式照片墙ins风家用创意桌面记事毛毡墙贴展示墙板 等多件,32.50   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200902009130125000410033132566	,20200902200040011100020097915135	,2020-09-02 22:12:59 ,2020-09-02 22:12:59 ,2020-09-02 22:12:59 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,1400.00 ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200902200040011100020097915135	,                    	,2020-09-02 22:12:47 ,2020-09-02 22:12:58 ,2020-09-02 22:12:58 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,1400.00 ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020090222001447411452845638	,210_202009022200549101994517	,2020-09-02 19:55:30 ,2020-09-02 19:55:30 ,2020-09-02 19:55:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-陈师傅-09月02日行程   ,20.76   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200902359117820411 	,                    	,2020-09-02 02:31:20 ,                    ,2020-09-02 02:31:20 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.09.01-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020090122001347411452191145	,0153298232407729f048b21159569	,2020-09-01 16:00:00 ,2020-09-01 16:00:00 ,2020-09-01 16:00:00 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,Youtong Trading (Hong Kong) Limited（A）,小红书订单: 59894708801844664,118.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200901009130125000410031695349	,20200901200040011100020096810830	,2020-09-01 15:59:44 ,2020-09-01 15:59:45 ,2020-09-01 15:59:45 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,100.00  ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200901200040011100020096810830	,                    	,2020-09-01 15:59:40 ,2020-09-01 15:59:44 ,2020-09-01 15:59:44 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,100.00  ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020090122001447411451259927	,231362878944        	,2020-09-01 15:06:36 ,2020-09-01 15:06:37 ,2020-09-01 15:06:37 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,4.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200901352319932411 	,                    	,2020-09-01 02:39:34 ,                    ,2020-09-01 02:39:34 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.31-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020083122001147411450679895	,T200P1217431512814833850	,2020-08-31 22:03:39 ,2020-08-31 22:03:44 ,2020-09-02 21:14:11 ,淘宝        ,支付宝担保交易         ,沃尊旗舰店           ,【开学价】洗衣袋家用文胸过滤网兜内衣洗衣机专用防变形大号加厚网袋护洗袋,34.73   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083122001447411450645122	,210_202008316882882801426152	,2020-08-31 20:07:29 ,2020-08-31 20:07:30 ,2020-08-31 20:07:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-梁师傅-08月31日行程   ,17.64   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083122001447411451265622	,20083170088465770107	,2020-08-31 19:56:23 ,2020-08-31 19:56:23 ,2020-08-31 19:56:23 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,安徽料理外卖订单            ,19.61   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083122001447411450185875	,6153aabeedab4184bcce0b07a6fa467e	,2020-08-31 10:07:29 ,2020-08-31 10:07:30 ,2020-08-31 10:07:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海赛可出行科技服务有限公司  ,享道出行                ,17.79   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200831340790249411 	,                    	,2020-08-31 02:14:31 ,                    ,2020-08-31 02:14:31 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.30-收益发放 ,0.01    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020083022001447411450273466	,20083070087628660507	,2020-08-30 20:27:23 ,2020-08-30 20:27:23 ,2020-08-30 20:27:23 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,留夫鸭（杨浦国华广场店）外卖订单    ,35.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083022001147411450030485	,T200P1215095508101833850	,2020-08-30 19:58:21 ,2020-08-30 19:58:26 ,2020-09-02 21:14:03 ,淘宝        ,支付宝担保交易         ,得力霸野专卖店         ,【家装季价】得力钢卷尺高精度随身迷你钢卷尺量尺尺子小2米3米5米10米7.5测量,20.80   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083022001447411450178166	,210_202008302197814101527266	,2020-08-30 18:19:32 ,2020-08-30 18:19:33 ,2020-08-30 18:19:33 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-李师傅-08月30日行程   ,14.55   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083022001447411449696426	,3128c1c483674f0eb8a380f064a094a7	,2020-08-30 13:40:37 ,2020-08-30 13:40:38 ,2020-08-30 13:40:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,上海赛可出行科技服务有限公司  ,享道出行                ,10.10   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083022001447411449961078	,20083070087129139707	,2020-08-30 12:15:30 ,2020-08-30 12:15:30 ,2020-08-30 12:15:30 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,湊湊火锅.茶憩（上海合生汇店）外卖订单 ,36.30   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200830009130125000410029456120	,20200830200040011100020095056694	,2020-08-30 11:40:47 ,2020-08-30 11:40:48 ,2020-08-30 11:40:48 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,200.00  ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200830200040011100020095056694	,                    	,2020-08-30 11:40:37 ,2020-08-30 11:40:47 ,2020-08-30 11:40:47 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,200.00  ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020083022001447411449767992	,20083070086961519007	,2020-08-30 10:49:08 ,2020-08-30 10:49:08 ,2020-08-30 10:49:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,淮南牛肉汤香酥牛肉煎包(国和路店)外卖订单,39.30   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020083022001147411449824969	,T200P1213860132424833850	,2020-08-30 10:22:37 ,2020-08-30 10:23:30 ,2020-08-31 22:16:08 ,淘宝        ,支付宝担保交易         ,天猫超市            ,维达抽纸超韧3层M码120抽24包卫生餐巾纸巾抽纸家用实惠整箱装 等多件,210.55  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200830339156692411 	,                    	,2020-08-30 02:14:49 ,                    ,2020-08-30 02:14:49 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.29-收益发放 ,0.02    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020082922001147411449843487	,T200P1214383935786833850	,2020-08-29 22:51:09 ,2020-08-29 22:51:13 ,2020-08-31 22:15:58 ,淘宝        ,支付宝担保交易         ,wm18516755777   ,日本canmake井田指甲油马卡龙独角兽偏光N32 N28新色限定N39 N40,38.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001447411449711056	,49126600004845580032202008293727826526116	,2020-08-29 19:33:56 ,2020-08-29 19:33:57 ,2020-08-29 19:33:57 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,THE COLORIST调色师 ,交易                  ,49.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001447411449695986	,108481P396379305124700160	,2020-08-29 19:09:51 ,2020-08-29 19:09:51 ,2020-08-29 19:09:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,纂赢商和（上海）企业发展有限公司,A7-阿叔阿姨的店（合生汇店）-消费  ,19.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001447411449478525	,20200829040957884641461	,2020-08-29 18:49:12 ,2020-08-29 18:49:12 ,2020-08-29 18:49:12 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,信用借还服务商         ,充电宝                 ,16.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001147411449573314	,T150P1212397416298833850	,2020-08-29 14:54:00 ,2020-08-29 14:54:04 ,2020-08-29 14:54:05 ,淘宝        ,支付宝担保交易         ,淘票票-淘出好时光       ,《小妇人》中影国际影城（上海合生汇店）电影票,88.00   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001447411448893595	,X5004801022008290093S5849232	,2020-08-29 13:54:46 ,2020-08-29 13:54:47 ,2020-08-29 13:54:47 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,无印良品(上海梅龙镇广场店)  ,条码支付-消费             ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082922001447411448149768	,X5004801022008290091S5849229	,2020-08-29 13:54:27 ,2020-08-29 13:54:27 ,2020-08-29 13:54:27 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,无印良品(上海梅龙镇广场店)  ,条码支付-消费             ,328.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200829009130125000410028517079	,20200829200040011100020094444926	,2020-08-29 13:47:09 ,2020-08-29 13:47:09 ,2020-08-29 13:47:10 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,300.00  ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200829200040011100020094444926	,                    	,2020-08-29 13:47:05 ,2020-08-29 13:47:09 ,2020-08-29 13:47:09 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,300.00  ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
2020082922001447411449210902	,2008290000084129    	,2020-08-29 12:59:39 ,2020-08-29 12:59:39 ,2020-08-29 12:59:39 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,茹.ifvegan(陕西北路店),茹·if vegan(陕西北路店)扫码付款,168.00  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200829327802299411 	,                    	,2020-08-29 02:40:50 ,                    ,2020-08-29 02:40:50 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.28-收益发放 ,0.04    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020082822001147411448480367	,T200P1210586798818833850	,2020-08-28 09:47:07 ,2020-08-28 09:47:10 ,2020-09-06 20:33:35 ,淘宝        ,支付宝担保交易         ,shenlibing1991  ,娇韵诗 双萃焕活修护精华露50ml 包邮 一件9折 二件8.8折 等多件,1339.00 ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200828009130125000410027528169	,20200828200040011100020093610382	,2020-08-28 09:34:51 ,2020-08-28 09:34:51 ,2020-08-28 09:34:52 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,转账收款到余额宝            ,1400.00 ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
20200828200040011100020093610382	,                    	,2020-08-28 09:34:47 ,2020-08-28 09:34:51 ,2020-08-28 09:34:51 ,支付宝网站     ,即时到账交易          ,装富有             ,转账                  ,1400.00 ,收入      ,交易成功    ,0.00     ,0.00     ,转账                  ,已收入      ,
20200828320983463411 	,                    	,2020-08-28 02:29:17 ,                    ,2020-08-28 02:29:17 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.27-收益发放 ,0.04    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020082722001447411447174444	,20082770084580999507	,2020-08-27 14:46:10 ,2020-08-27 14:46:11 ,2020-08-27 14:46:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,LELECHA乐乐茶(五角场万达店)外卖订单,115.30  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2020082722001447411447156168	,230462649344        	,2020-08-27 09:58:09 ,2020-08-27 09:58:09 ,2020-08-27 09:58:09 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,淞虹              ,7-ELEVEn上海国通消费      ,9.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
20200827319383023411 	,                    	,2020-08-27 02:48:21 ,                    ,2020-08-27 02:48:21 ,支付宝网站     ,即时到账交易          ,长城基金管理有限公司      ,余额宝-2020.08.26-收益发放 ,0.04    ,收入      ,交易成功    ,0.00     ,0.00     ,                    ,已收入      ,
2020082622001447411446974603	,20082670084102078007	,2020-08-26 23:16:34 ,2020-08-26 23:16:34 ,2020-08-26 23:16:34 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,安徽料理外卖订单            ,21.61   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
